name;address;sector
Anugerah Pharmindo Lestari;Jalan Jenderal Ahmad Yani 870654 Rt. 12;Chemists
Apotek Kimia Farma;Jalan Jenderal Ahmad Yani 3775321 Kota Bontang;Chemists
Klinik Kimia Farma 351;Jalan Simo 7057432 Klaten  - Kabupaten;Chemists
Apotek Kebonsari;- A Jl. Pahlawan Timur 29465156 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma 114;Jalan Pangeran Hidayatullah 4675112 Kota Samarinda;Chemists
Apotek Sehat Bersama;Jalan Jenderal Sudirman 330151 Kota Palembang;Chemists
Nusantara Farma Apotik;Jalan Jenderal Ahmad Yani 50340121 Kota Bandung;Chemists
Kimia Farma Apotek;Jalan Jatiwaringin 513610 Pondokgede;Chemists
Aspp;Gedung Kratingdaeng 12790 Jakarta;Chemists
Klinik Kimia Farma 152;Jalan Raya Pasar Minggu 12520 Jakarta;Chemists
Apotek Kimia Farma Teuku Umar Lampung;Jalan Teuku Umar 2435141 Kota Bandar Lampung;Chemists
Apotek Kimia Farma;Jalan Zaenal Abidin Pagar Alam 7735141 Kota Bandar Lampung;Chemists
Laboratorium Klinik Pramita;Jalan Cik Ditiro 1755224 Kota Yogyakarta;Medical Laboratories
Apotek Kimia Farma;Jl. Cipanas 10629444 Riau Islands;Medical Laboratories
Apotek Kimia Farma;Jalan Urip Sumoharjo 6151181 Klaten  - Kabupaten;Medical Laboratories
Apotek Kimia Farma Padang;Jl. Perintis Kemerdekaan 2425119 Kota Padang;Medical Laboratories
Apotek Kimia Farma;Jalan Robert Wolter Monginsidi 735214 Kota Bandar Lampung;Medical Laboratories
Apotek Kimia Farma;Jalan Raden Ajeng Kartini 4435111 Kota Bandar Lampung;Medical Laboratories
Akademi Refraksi Optisi Polycore Indonesia;Jl. Resinda Raya 41361 Klaten  - Kabupaten;Medical Laboratories
Agen Nasa Jakal;Candi Karang  Klaten  - Kabupaten;Medical Laboratories
Apotek Kimia Farma;Jl. W.R. Supratman 30380118 Dompu  - Bali;Medical Laboratories
Apotek Kimia Farma 60;Jalan Merdeka 4724351 Kota Lhoksumawe;Medical Laboratories
Apotek Kimia Farma;Jalan Rungkut Madya 9960293 Kota Surabaya;Medical Laboratories
Klinik Kimia Farma 101;Jl. Herewila 3885369 Klaten  - Kabupaten;Medical Laboratories
Apotek Kimia Farma;-B Jl. Cemengkalang 3561256 Klaten  - Kabupaten;Medical Laboratories
Apotek Kimia Farma 401;Jalan Seturan Raya 55283 Klaten  - Kabupaten;Medical Laboratories
Klinik Kimia Farma 331, Bahu;Jalan Wolter Monginsidi 2995113 Kota Manado;Medical Laboratories
Kimia Farma;Rumah Sakit Khusus Daerah Ratumbuysang 7795113 Kota Manado;Medical Laboratories
Apotek Sumber Anom;Jalan Ahmad Yani 20164483 Klaten  - Kabupaten;Medical Laboratories
Klinik Utama Kimia Farma Cihampelas;Jl. Cihampelas 740266 Klaten  - Kabupaten;Medical Laboratories
